url,type,c_date
http://www.wmo.int/pages/index_en.php,olink,2016-12-06_07:05:32<
#,olink,2016-12-06_07:06:36<
http://www.inmet.gov.br/,olink,2016-12-06_07:06:36<
http://www.insmet.cu/asp/genesis.asp?TB0=PLANTILLAS&TB1=INICIAL,olink,2016-12-06_07:06:36<
http://www.liikennevirasto.fi/web/en/home,olink,2016-12-06_07:06:36<
http://www.wmo.int/pages/index_en.php,olink,2016-12-06_07:06:36<
#,olink,2016-12-06_07:41:26
http://navy.mnd.gov.tw/Publish.aspx?cnid=2909&p=50519&Level=2,olink,2016-12-06_07:41:26
http://www.insmet.cu/asp/genesis.asp?TB0=PLANTILLAS&TB1=INICIAL,olink,2016-12-06_07:41:26
http://www.wmo.int/pages/index_en.php,olink,2016-12-06_07:41:26
http://taqm.epa.gov.tw/taqm/tw/default.aspx,inlink,2016-12-06_07:59:26
http://www.cwb.gov.tw/V7/forecast/,inlink,2016-12-06_07:59:26
http://www.cwb.gov.tw/V7/forecast/fishery/NSea.htm,inlink,2016-12-06_07:59:26
http://www.cwb.gov.tw/V7/forecast/fishery/tide_1.htm,inlink,2016-12-06_07:59:26
https://plus.google.com/share?url=http://210.200.14.106/&,inlink,2016-12-06_07:59:26
https://twitter.com/share?url=http://210.200.14.106/&,inlink,2016-12-06_07:59:26
https://www.facebook.com/sharer/sharer.php?u=http://210.200.14.106/&,inlink,2016-12-06_07:59:26
http://www.insmet.cu/asp/genesis.asp?TB0=PLANTILLAS&TB1=INICIAL,inlink,2016-12-06_08:03:12
http://www.liikennevirasto.fi/web/en/home,inlink,2016-12-06_08:03:12
http://www.wmo.int/pages/index_en.php,inlink,2016-12-06_08:03:12
http://www.bom.gov.au/,olink,2017-06-08_10:09:46
http://www.iho.int/srv1/index.php?lang=en,olink,2017-06-08_10:09:46
http://www.wmo.int/pages/index_en.php,olink,2017-06-08_10:09:46

